panel,cell_index,code,name,hex
panel_04.png,57,71.112,25 Evil Red,#dfdfde
panel_04.png,58,71.117,34 Elfic Blue 72.024 43 Turquoise,#d9d9d9
panel_04.png,59,71.029,51 Sick Green,#e4e4e4
panel_04.png,60,71.062,60 Earth 72.044 69 Dark Flesh Tone,#e9e9e9
panel_04.png,61,71.155,78 Charcoal,#a7a6a4
panel_04.png,62,71.058,127 Brassy Brass 72.088 115 Blue,#d7bfb1
panel_04.png,64,71.108,Succubus Skin,#74423c
panel_04.png,65,71.110,Sunset Orange,#f18332
panel_04.png,66,71.013,26 Squid Pink,#d6d5d5
panel_04.png,67,71.022,35 Ultramarine Blue 72.120 Abyssal Turquoise,#d4d3d3
panel_04.png,68,71.123,52 Angel Green,#e8e8e8
panel_04.png,69,71.036,Bronze Brown 72.045 70 Charred Brown,#eae9e9
panel_04.png,70,71.051,79 Black,#010000
panel_04.png,71,71.059,128 Hammered Copper 72.084 116 Dark Turquoise,#764d33
panel_04.png,73,71.099,Skin Tone,#f3a97f
panel_04.png,74,71.008,Orange Fire,#ea541e
panel_04.png,75,71.014,27 Warlord Purple,#e1e1e1
panel_04.png,76,71.019,36 Night Blue 72.121 Ghost Green,#dadada
panel_04.png,77,71.028,53 Dark Green,#f2f2f1
panel_04.png,78,71.039,Plague Brown 72.047 Wolf Grey,#eeeeee
panel_04.png,80,71.060,129 Tinny Tin 72.089 Green,#542e18
