code,name,type,hex,equivalents,confidence
AK11813,RLM 04,AIR,#626262,,
AK11814,RLM 61,AIR,#ccc4ba,,
AK11815,RLM 62,AIR,#e3e3e3,,
AK11816,RLM 63,AIR,#dadad8,,
AK11817,RLM 65 (1938),AIR,#dcdede,,
AK11818,RLM 65 (1941),AIR,#fbfbfb,,
AK11819,RLM 66 (1938),AIR,#e9e9e9,,
AK11820,RLM 66 (1941),AIR,#e9e9e9,,
AK11821,RLM 70,AIR,#cbcccb,,
AK11822,RLM 71,AIR,#c1c2c1,,
AK11823,RLM 72,AIR,#e7e7e7,,
AK11824,RLM 73,AIR,#6e6e6e,,
AK11825,RLM 74,AIR,#51504b,,
AK11826,RLM 75,AIR,#d1d1d1,,
AK11827,RLM 76 Version 1,AIR,#f8f8f8,,
AK11828,RLM 76 Version 2,AIR,#626262,,
AK11829,RLM 76 Late War Variation,AIR,#ebebeb,,
AK11830,RLM 78 (1941),AIR,#fafafa,,
AK11831,RLM 78 (1942),AIR,#cececd,,
AK11832,RLM 79 (1941),AIR,#ce8c52,,
AK11833,RLM 79 (1942),AIR,#fcfcfc,,
AK11834,RLM 80,AIR,#eaeaea,,
AK11835,RLM 81 Version 1,AIR,#e2e2e2,,
AK11836,RLM 81 Version 2,AIR,#bfbebb,,
AK11837,RLM 81 Version 3,AIR,#fbfbfb,,
AK11838,RLM 82,AIR,#e9e9e9,,
AK11839,RLM 83,AIR,#e7e7e7,,
AK11840,RAF Dark Green,AIR,#6d6d6d,,
AK11841,RAF Dark Earth,AIR,#d9d9d9,,
AK11842,RAF Ocean Grey,AIR,#e1e1e1,,
AK11843,RAF Medium Sea Grey BS381C/637,AIR,#b3b5b6,,
AK11844,RAF Sky / FS 34424,AIR,#e9e9e9,,
AK11845,RAF,AIR,#7190b6,,
AK11846,RAF Middle Stone,AIR,#e4e4e4,,
AK11847,RAF Cockpit Grey-Green,AIR,#616a57,,
AK11848,RAF Sky,AIR,#e9e9e9,,
AK11849,RAF Dark Slate Grey,AIR,#e3e3e3,,
AK11850,RAF Extra Dark Sea Grey BS381C/640,AIR,#464c53,,
AK11851,RAF Dark Sea Grey BS381C/638,AIR,#c5c5c6,,
AK11852,RAF PRU Blue BS381C/636,AIR,#fbfbfb,,
AK11853,RAF Light Aircraft Grey BS381C/627,AIR,#a4a49d,,
AK11854,RAF Camouflage (Barley) Grey,AIR,#666666,,
AK11855,RAF Dark Camouflage Grey,AIR,#656565,,
AK11856,RAF Camouflage Beige (Hemp),AIR,#666666,,
AK11857,Bronze Green,AIR,#d3d4d2,,
AK11858,Zinc Chromate Yellow,AIR,#dedede,,
AK11859,US Interior Yellow Green,AIR,#f7f7f7,,
AK11860,Dark Olive Drab 41,AIR,#dbdbdb,,
AK11861,Medium Green 42,AIR,#9d9d9c,,
AK11862,Neutral Grey 43,AIR,#595a55,,
AK11863,ANA 613 Olive Drab,AIR,#514e41,,
AK11864,Deep Sea Blue,AIR,#3a3e3b,,
AK11865,M-485 Blue-Grey,AIR,#cbcbcb,,
AK11866,Light Gull,AIR,#cdcdcd,,
AK11867,ADC Grey FS 16473,AIR,#ededed,,
AK11868,Insignia White FS 17875,AIR,#5c5c5c,,
AK11869,Sand FS 33531,AIR,#dbdbdb,,
AK11870,Radome Tan FS 33613,AIR,#ccc7c1,,
AK11871,USMC Sand FS 33711,AIR,#fbfbfb,,
AK11872,US Army Helo Drab FS 34031,AIR,#f9f9f9,,
AK11873,Dull Dark Green FS 34092,AIR,#656565,,
AK11874,USMC Green FS 34095,AIR,#a2a39b,,
AK11875,Field Green FS 34097,AIR,#bfbfb4,,
AK11876,Green FS 34258,AIR,#fbfbfb,,
AK11877,Aggressor Blue FS 35109,AIR,#396064,,
AK11878,Blue FS 35190,AIR,#ededed,,
AK11879,Air Superiority Blue FS 35450,AIR,#6d6d6d,,
AK11880,Duck Egg Blue FS 35622,AIR,#d0d0d0,,
AK11881,Medium Gunship Grey FS 36118,AIR,#646464,,
AK11882,Have Glass Grey FS 36170,AIR,#5d5c5a,,
AK11883,F-15 Dark Grey (Mod Eagle),AIR,#636d75,,
AK11884,Dark Gull Grey FS 36231,AIR,#d2d2d2,,
AK11885,Aggressor Grey FS 36251,AIR,#9ea1a3,,
AK11886,Medium Grey FS 36270,AIR,#777c7e,,
AK11887,Dark Ghost Grey FS 36320,AIR,#a8aaac,,
AK11888,Light Ghost Grey FS 36375,AIR,#626262,,
AK11889,Light,AIR,#dbdbdb,,
AK11890,Camouflage Grey FS 36622,AIR,#cdcecd,,
AK11891,IJN J3 Hai-iro (Grey),AIR,#d4d4d3,,
AK11892,IJN J3 SP (Amber Grey),AIR,#7f7863,,
AK11893,IJN D1 Deep Green Black,AIR,#eaeaea,,
AK11894,IJN D2 Green Black,AIR,#dadada,,
AK11895,IJN Q1 Anti-Glare Blue-Black,AIR,#eaeaea,,
AK11896,IJN M3 (M) Mitsubishi Interior Green],AIR,#aeb0af,,
AK11897,IJN M3 (N) Nakajima Interior Green,AIR,#463f27,,
AK11898,IJNJJA Aotake,AIR,#f9f9f9,,
AK11899,IJA #1 Hairyokushoku (Grey-Green),AIR,#646464,,
AK11900,IJA #3 Hairanshoku (Grey Indigo),AIR,#b0b3b2,,
AK11901,IJA #7 Ohryuko Nana Go Shoku,AIR,#fcfcfc,,
AK11902,IJA #21 Midori iro (Green),AIR,#a1a49c,,
AK11903,IJA #27 Ao Midori iro (Blue-Green),AIR,#6e6e6e,,
AK11904,IJA #29 Ki Midori iro (Yellow-Green),AIR,#fbfbfb,,
AK11905,IJA #30 Karekusa iro (Dry Grass),AIR,#dcdcdc,,
AK11906,IJA #31 Cha Kasshoku (Tea Colour),AIR,#b2afab,,
AK11907,Grey-Blue 1920s-1930s,AIR,#6d6d6d,,
AK11908,AE-9/AII Light Grey,AIR,#e1e1e1,,
AK11909,AII Green,AIR,#646464,,
AK11910,AII Light Blue,AIR,#c0c4c3,,
AK11911,A-14 Interior Steel Grey,AIR,#6d6d6d,,
AK11912,A-18f Light Grey-Blue,AIR,#7b968d,,
AK11913,A-19f Grass Green,AIR,#616161,,
AK11914,A-Z1m Light Yellowish Brown,AIR,#cecdcb,,
AK11915,AMT-4 (A-24m) Green,AIR,#ececec,,
AK11916,AMT-7 Light Blue,AIR,#dcdcdc,,
AK11917,AMT-11 Blue-Grey,AIR,#616161,,
AK11918,AMT-12 Dark Grey,AIR,#cfcfcf,,
AK11919,Radome & Wheel Hub Green,AIR,#5c5c5c,,
AK11920,Mig-25/Mig-31 Grey,AIR,#cfd1cf,,
AK11301,WWI British Khaki Brown Base,AFV,#d7d7d7,,
AK11302,WWI French Milky Coffee,AFV,#836844,,
AK11303,WWI French Artillery Grey,AFV,#5c5c5c,,
AK11304,WWI French Brown,AFV,#e2e2e2,,
AK11305,WWI French Green 1,AFV,#342a1d,,
AK11306,WWI French Green 2,AFV,#626e46,,
AK11307,RAL 7009 Hellgrau,AFV,#fcfcfc,,
AK11308,RAL 6007 Grin,AFV,#e1e1e1,,
AK11309,RAL 6003 Olivgriin opt: 1,AFV,#414321,,
AK11310,RAL 6003 Olivgriin opt.2,AFV,#9c9b96,,
AK11311,RAL 6011 Resedagrin,AFV,#575f39,,
AK11312,RAL 6011B Resedagriin,AFV,#dedede,,
AK11313,RAL 7008 Graugriin,AFV,#6d5d30,,
AK11314,RAL 7008 Graugriin Opt.2,AFV,#fdfdfd,,
AK11315,RAL 7017 Dunkelbraun,AFV,#fafafa,,
AK11316,RAL 7021 Dunkelgrau,AFV,#7e7a76,,
AK11317,RAL 7027 Grau,AFV,#999285,,
AK11318,RAL 7028 Dunkelgelb (Initial),AFV,#8e7c4d,,
AK11319,Dunkelgelb Ausgabe 1944,AFV,#e6e6e6,,
AK11320,RAL 7028 Dunkelgelb (Variant),AFV,#e2e2e2,,
AK11323,RAL 6040 F9 Helloliv,AFV,#5a4b2d,,
AK11325,RAL 1039 F9 Sandbeige,AFV,#dcdcdc,,
AK11326,RAL 8031 F9 Sandbraun,AFV,#cdcbc6,,
AK11327,RAL 8000 Gelbbraun,AFV,#e0e0e0,,
AK11328,RAL 8012 Rotbraun,AFV,#e7e7e7,,
AK11329,RAL 8013 Rotbraun,AFV,#88706d,,
AK11330,RAL 8017 Rotbraun,AFV,#32231b,,
AK11331,RAL 8020 Braun,AFV,#9e784f,,
AK11333,Cremeweiss,AFV,#e4e4e4,,
AK11334,Olive Drab Base,AFV,#484528,,
AK11335,N'1 Light Green (FS34151),AFV,#cdccc9,,
AK11336,N'5 Earth Brown (FS30099),AFV,#fbfbfb,,
AK11337,N'6 Earth Yellow (FS30257),AFV,#d7d7d7,,
AK11338,N'8 Earth Red (FS30117),AFV,#573221,,
AK11339,"N""9 Olive Drab (FS33070)",AFV,#fdfdfd,,
AK11340,N913 Desert Sand (FS30279),AFV,#e1e1e1,,
AK11341,Ocean Gray (FS35164),AFV,#dfdfdf,,
AK11342,Dark Green (FS34102),AFV,#7b7d71,,
AK11343,MERDC Sand (FS30277),AFV,#796443,,
AK11344,Field Drab (FS30118),AFV,#e1e1e1,,
AK11345,APC Interior Light Green,AFV,#d5d4d1,,
AK11346,Forest Green (FS34079),AFV,#e6e6e6,,
AK11347,Australian Camouflage Brown,AFV,#d6d6d6,,
AK11348,Australian Camouflage Green,AFV,#4e4f21,,
AK11349,CARC Tan 686A (FS33446),AFV,#fcfcfc,,
AK11350,Modern Spanish Green,AFV,#fafafa,,
AK11351,Wood Base,AFV,#dddddd,,
AK11352,IDF Modern Grey,AFV,#d1d0cd,,
AK11353,IDF Sand Grey 1970s-1980s,AFV,#e5e5e5,,
AK11354,IDF Early Sand Yellow,AFV,#f8f8f8,,
AK11355,IDF Green,AFV,#292b1b,,
AK11356,SLA Blue,AFV,#cfd1d0,,
AK11357,LAF Green,AFV,#fbfbfb,,
AK11358,NATO Green,AFV,#e4e4e4,,
AK11359,NATO Brown,AFV,#a7a8a3,,
AK11360,NATO Black,AFV,#a0a0a0,,
AK11361,New Iraqi Army Sand,AFV,#fbfbfb,,
AK11362,British Sand Yellow,AFV,#dcdcdc,,
AK11363,French Army Desert Sand,AFV,#57633e,,
AK11364,French,AFV,#fdfdfd,,
AK11365,French Army Grey-Blue,AFV,#e6e6e6,,
